"league", "home", "visitor", "x", "date"
305,' 3029',' 3031',' 55',' ''2025-10-08'''
305,' 3028',' 3032',' 55',' ''2025-10-08'''
305,' 3027',' 3033',' 55',' ''2025-10-08'''
305,' 3035',' 3034',' 51',' ''2025-10-08'''
305,' 3026',' 3029',' 53',' ''2025-10-15'''
305,' 3030',' 3028',' 60',' ''2025-10-15'''
305,' 3031',' 3027',' 56',' ''2025-10-15'''
305,' 3032',' 3035',' 56',' ''2025-10-15'''
305,' 3033',' 3034',' 56',' ''2025-10-15'''
305,' 3028',' 3026',' 55',' ''2025-10-22'''
305,' 3027',' 3029',' 55',' ''2025-10-22'''
305,' 3035',' 3030',' 51',' ''2025-10-22'''
305,' 3034',' 3031',' 51',' ''2025-10-22'''
305,' 3033',' 3032',' 56',' ''2025-10-22'''
305,' 3026',' 3027',' 53',' ''2025-10-29'''
305,' 3035',' 3028',' 51',' ''2025-10-29'''
305,' 3029',' 3034',' 55',' ''2025-10-29'''
305,' 3033',' 3030',' 56',' ''2025-10-29'''
305,' 3031',' 3032',' 56',' ''2025-10-29'''
305,' 3035',' 3026',' 51',' ''2025-11-12'''
305,' 3034',' 3027',' 51',' ''2025-11-12'''
305,' 3033',' 3028',' 56',' ''2025-11-12'''
305,' 3032',' 3029',' 56',' ''2025-11-12'''
305,' 3031',' 3030',' 56',' ''2025-11-12'''
305,' 3026',' 3034',' 53',' ''2025-11-19'''
305,' 3035',' 3033',' 51',' ''2025-11-19'''
305,' 3027',' 3032',' 55',' ''2025-11-19'''
305,' 3028',' 3031',' 55',' ''2025-11-19'''
305,' 3029',' 3030',' 55',' ''2025-11-19'''
305,' 3033',' 3026',' 56',' ''2025-11-26'''
305,' 3032',' 3034',' 56',' ''2025-11-26'''
305,' 3031',' 3035',' 56',' ''2025-11-26'''
305,' 3030',' 3027',' 60',' ''2025-11-26'''
305,' 3029',' 3028',' 55',' ''2025-11-26'''
